Date,GPS Location,,,,,,"Current Location &
 distance from Pre-release aviary",Weather,Status of the Vulture,,,Food offered,"Remark 
(describe health status, Ectual location and if recaptured)"
30-Aug-24,"20.260778,79.299545","20.260859,79.299477","20.260967,79.298775","20.25849,79.298828","20.260796,79.2995","20.260838,79.299522",17KM,cloudy,empty,Sitting on Tree,Good,NO,
31-Aug-24,"20.260874,79.299362","20.26074,79.299561","20.262966,79.300713","20.267303,79.29644","20.267363,79.296486","20.267309,79.296463",17KM,cloudy,empty,Sitting on Tree,Good,NO,
01-Sep-24,"20.267241,79.296501","20.267252,79.296486","20.26733,79.296463","20.260838,79.299599",,"20.260839,79.299522",17KM,cloudy,empty,Sitting on Tree,Good,NO,
02-Sep-24,"20.260733,79.299461","20.260757,79.299469","20.260807,79.299522","20.260748,79.299614","20.260723,79.299591","20.260841,79.299431",17KM,cloudy,empty,Sitting on Tree,Good,NO,
03-Sep-24,"20.260714,79.299583","20.260721,79.299545","20.260786,79.299553","20.260822,79.299454","20.259398,79.297791","20.259418,79.297737",17KM,cloudy,empty,Sitting on Tree,Good,NO,
04-Sep-24,"20.259388,79.297791","20.259369,79.297768","20.25943,79.297775","20.260744,79.2995","20.260765,79.2995","20.259523,79.297791",17KM,cloudy,FULL,Sitting on Tree,Good,yes,3KG OF GOAT MEAT  IS GIVEN
05-Sep-24,"20.259411,79.297722","20.259344,79.297813","20.259338,79.297798","20.259398,79.297791","20.259848,79.298431","20.259464,79.297813",17KM,cloudy,FULL,Sitting on Tree,Good,NO,
06-Sep-24,"20.259521,79.297859","20.259785,79.29847","20.259394,79.297775","20.26074,79.299492","20.26074,79.299492","20.258537,79.298759",17KM,cloudy,half,Sitting on Tree,Good,NO,
07-Sep-24,"20.258486,79.298737","20.260757,79.299477","20.260809,79.299492","20.260679,79.299484","20.260641,79.299553","20.260666,79.299454",17KM,cloudy,EMPTY,Sitting on Tree,Good,NO,
08-Sep-24,"20.26075,79.299492","20.260736,79.299484","20.258537,79.298744","20.260683,79.299461","20.259382,79.297737","20.259315,79.297775",17KM,cloudy,EMPTY,Sitting on Tree,Good,NO,
09-Sep-24,"20.259348,79.297829","20.259363,79.297783","20.259289, 79.297836","20.260778, 79.299484","20.259377,79.297829","20.259386,79.297806",17KM,cloudy,EMPTY,Sitting on Tree,Good,NO,
10-Sep-24,"20.259357,79.297821","20.259361,79.297768","20.25939,79.297783","20.259214,79.297775","20.260685,79.299454","20.260618,79.299484",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
11-Sep-24,"20.260706,79.2995","20.260765,79.299492","20.259289,79.297836","20.260677,79.299484","20.260733,79.29953","20.260778,79.299583",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
12-Sep-24,"20.260746,79.299644","20.26074,79.29953","20.260773,79.299408","20.260708,79.299492","20.260763,79.299492","20.260759,79.299446",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
13-Sep-24,"20.260691,79.299652","20.260801,79.299461","20.260801,79.299461","20.267365,79.296486","20.2673,79.296486","20.267345,79.296478",17KM,SUNNY,EMPTY,Sitting on Tree,Good,yes,goat is given not eaten
14-Sep-24,"20.267296,79.296471","20.267248,79.296501","20.267273,79.296486","20.267269,79.296471","20.26726,79.296448","20.267241,79.296448",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
15-Sep-24,"20.267282,79.296524","20.267246,79.29657","20.267242,79.296471","20.267267,79.296509","20.267233,79.296524","20.267267,79.296494",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
16-Sep-24,"20.267267,79.296524","20.267204,79.296516","20.269188,79.296234","20.26919,79.296234","20.26734,79.296532","20.267307,79.296463",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
17-Sep-24,"20.267273,79.296547","20.267242,79.296455","20.267282,79.296501",,"20.277033,79.290451","20.27696,79.290421",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
18-Sep-24,"20.277023,79.290443","20.276978,79.290428","20.279346,79.289322","20.267252,79.296494","20.267229,79.296509","20.267237,79.296539",17KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
19-Sep-24,"20.267242,79.296486","20.267193,79.296478","20.267302,79.296516","20.277071,79.290398","20.26729,79.296463","20.267269,79.296478",19KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,change location
20-Sep-24,"20.267263,79.296463","20.267284,79.296501","20.256313,79.29892","20.27927,79.289421","20.280048,79.289101","20.280077,79.28907",19KM,SUNNY,EMPTY,Sitting on Tree,Good,yes,2 kg goat meat
21-Sep-24,"20.280041,79.289055","20.280046,79.289047","20.279953,79.289047","20.279015,79.290062","20.278919,79.289688",,19KM,SUNNY,EMPTY,Sitting on Tree,Good,NO,
22-Sep-24,,,,,,,,,,,,,
23-Sep-24,,,,,,,,,,,,,
24-Sep-24,,,,,,,,,,,,,
25-Sep-24,,,,,,,,,,,,,
26-Sep-24,,,,,,,,,,,,,
27-Sep-24,,,,,,,,,,,,,
28-Sep-24,,,,,,,,,,,,,
29-Sep-24,,,,,,,,,,,,,
30-Sep-24,,,,,,,,,,,,,
01-Oct-24,,,,,,,,,,,,,
